data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 13:58:34,45,37,30,1023,-0.43,0.42,0.76,-0.43,-0.01,0.65,3.48,2.38,-0.74,1,Estratificado
21/2021/04 13:58:34,40,23,30,1023,-0.32,0.43,0.75,-0.39,-0.00,0.62,4.19,2.59,-0.42,1,Estratificado
21/2021/04 13:58:34,34,14,31,1023,2.00,0.42,0.74,-0.36,-0.00,0.59,3.60,4.65,-0.91,1,Estratificado
21/2021/04 13:58:34,34,19,30,1023,0.21,0.42,0.77,-0.43,0.00,0.64,3.24,3.14,-1.05,1,Estratificado
21/2021/04 13:58:34,44,34,29,1023,-0.04,0.42,0.73,-0.40,-0.01,0.63,3.95,3.22,-0.38,1,Estratificado
21/2021/04 13:58:36,32,16,30,1023,-0.12,0.42,0.71,-0.39,0.00,0.63,3.76,4.63,-0.75,1,Estratificado
21/2021/04 13:58:39,21,13,31,1023,0.16,0.42,0.70,-0.40,0.00,0.62,2.98,5.24,-1.15,1,Estratificado
21/2021/04 13:58:42,38,20,30,1023,0.55,0.42,0.75,-0.44,0.01,0.65,2.98,3.56,-1.56,1,Estratificado
21/2021/04 13:58:45,46,36,30,1023,0.65,0.43,0.77,-0.41,-0.01,0.64,3.98,3.24,-0.46,1,Estratificado
21/2021/04 13:58:48,33,15,30,1023,-0.03,0.48,0.75,-0.38,-0.00,0.62,3.98,3.10,-0.51,1,Estratificado
21/2021/04 13:58:51,30,14,31,1023,0.48,0.45,0.74,-0.42,0.00,0.63,3.18,4.65,-1.14,1,Estratificado
21/2021/04 13:58:55,39,27,31,1023,-0.31,0.48,0.76,-0.44,0.00,0.64,2.95,3.46,-0.85,1,Estratificado
21/2021/04 13:58:58,43,29,30,1023,0.73,0.60,0.76,-0.43,0.01,0.64,4.24,2.60,0.02,1,Estratificado
21/2021/04 13:59:00,34,13,29,1023,-0.70,0.46,0.78,-0.43,-0.01,0.65,2.69,4.19,-1.43,1,Estratificado
21/2021/04 13:59:04,32,19,30,1023,0.19,0.44,0.72,-0.46,0.01,0.64,2.48,3.57,-1.44,1,Estratificado
21/2021/04 13:59:06,51,36,30,1023,-0.65,0.42,0.77,-0.40,-0.03,0.63,3.85,2.98,-0.38,1,Estratificado
21/2021/04 13:59:10,31,13,30,1023,-0.14,0.44,0.68,-0.38,0.01,0.62,4.13,3.54,-0.34,1,Estratificado
21/2021/04 13:59:13,35,12,30,1023,0.84,0.42,0.71,-0.45,0.02,0.64,3.29,4.24,-1.18,1,Estratificado
21/2021/04 13:59:16,42,34,29,1023,0.31,0.41,0.74,-0.48,-0.02,0.67,3.33,2.13,-0.87,1,Estratificado
21/2021/04 13:59:19,36,21,29,1023,0.02,0.41,0.72,-0.39,0.01,0.62,4.08,3.05,-0.13,1,Estratificado
21/2021/04 13:59:22,33,13,30,1023,0.97,0.41,0.72,-0.36,0.02,0.61,3.29,5.02,-0.75,1,Estratificado
21/2021/04 13:59:25,34,18,31,1023,0.40,0.41,0.74,-0.45,-0.00,0.66,3.24,3.49,-1.28,1,Estratificado
21/2021/04 13:59:28,42,37,31,1023,-0.27,0.41,0.74,-0.42,0.00,0.66,3.62,3.17,-0.56,1,Estratificado
21/2021/04 13:59:31,31,15,31,1023,-0.09,0.42,0.72,-0.36,0.01,0.60,4.00,4.56,-0.53,1,Estratificado
21/2021/04 13:59:34,23,13,30,1023,0.82,0.41,0.70,-0.38,0.01,0.62,3.46,4.66,-0.51,1,Estratificado
21/2021/04 13:59:37,33,20,30,1023,-0.97,0.40,0.71,-0.44,0.01,0.64,3.04,4.34,-1.26,1,Estratificado
21/2021/04 13:59:40,43,32,29,1023,0.96,0.41,0.74,-0.49,-0.02,0.68,3.15,1.95,-0.99,1,Estratificado
21/2021/04 13:59:43,49,36,30,1023,-0.08,0.40,0.72,-0.41,-0.01,0.63,3.83,3.00,-0.55,1,Estratificado
21/2021/04 13:59:46,38,27,31,1023,0.12,0.40,0.73,-0.41,-0.01,0.62,4.22,2.83,0.04,1,Estratificado
21/2021/04 13:59:49,31,15,29,1023,-0.73,0.40,0.73,-0.36,0.02,0.61,3.71,4.82,-0.53,1,Estratificado
21/2021/04 13:59:52,30,14,30,1023,0.47,0.40,0.72,-0.39,0.01,0.60,3.44,4.63,-0.78,1,Estratificado
21/2021/04 13:59:55,31,17,30,1023,0.57,0.40,0.67,-0.42,0.01,0.63,2.73,4.63,-1.39,1,Estratificado
21/2021/04 13:59:58,35,21,31,1023,0.10,0.40,0.74,-0.45,0.01,0.66,2.76,3.18,-1.35,1,Estratificado
21/2021/04 14:00:01,44,38,30,1023,-0.51,0.40,0.70,-0.44,-0.01,0.66,3.86,3.04,-0.73,1,Estratificado
21/2021/04 14:00:04,40,27,31,1023,-0.86,0.40,0.73,-0.40,0.02,0.62,3.87,2.83,-0.19,1,Estratificado
21/2021/04 14:00:07,32,17,31,1023,0.06,0.40,0.70,-0.40,-0.00,0.61,3.58,4.79,-0.56,1,Estratificado
21/2021/04 14:00:10,32,17,31,1023,0.05,0.40,0.69,-0.45,-0.01,0.64,3.19,3.77,-0.85,1,Estratificado
21/2021/04 14:00:13,46,34,31,1023,0.89,0.40,0.72,-0.49,-0.01,0.66,3.07,2.56,-1.17,1,Estratificado
21/2021/04 14:00:16,41,30,30,1023,-1.82,0.40,0.71,-0.41,-0.01,0.64,4.24,2.40,-0.08,1,Estratificado
21/2021/04 14:00:19,32,16,30,1023,0.31,0.40,0.74,-0.40,0.01,0.62,3.85,4.27,-0.63,1,Estratificado
21/2021/04 14:00:22,31,17,31,1023,-0.49,0.40,0.70,-0.46,0.01,0.66,3.04,4.70,-0.82,1,Estratificado
21/2021/04 14:00:25,34,22,30,1023,-1.24,0.40,0.70,-0.44,-0.01,0.66,3.19,2.77,-0.99,1,Estratificado
21/2021/04 14:00:28,45,36,30,1023,-1.02,0.42,0.67,-0.40,-0.01,0.64,3.87,2.17,-0.33,1,Estratificado
21/2021/04 14:00:31,40,24,30,1023,1.28,0.40,0.73,-0.40,0.00,0.63,4.18,3.32,-0.34,1,Estratificado
21/2021/04 14:00:34,33,20,30,1023,-0.65,0.40,0.74,-0.41,0.01,0.63,3.50,4.40,-0.60,1,Estratificado
21/2021/04 14:00:37,35,22,30,1023,0.03,0.39,0.71,-0.45,0.01,0.66,3.13,4.10,-1.05,1,Estratificado
21/2021/04 14:00:40,42,27,30,1023,-1.50,0.40,0.67,-0.47,-0.01,0.67,3.21,2.08,-0.83,1,Estratificado
21/2021/04 14:00:43,33,23,29,1023,-0.11,0.40,0.66,-0.42,0.01,0.64,3.99,2.81,-0.11,1,Estratificado
21/2021/04 14:00:46,36,20,31,1023,-0.55,0.40,0.67,-0.39,0.01,0.62,3.59,4.26,-0.63,1,Estratificado
21/2021/04 14:00:49,36,21,31,1023,-0.97,0.40,0.71,-0.45,0.01,0.65,3.34,2.50,-1.04,1,Estratificado
21/2021/04 14:00:52,43,32,31,1023,-0.38,0.39,0.62,-0.42,0.00,0.64,3.81,3.43,-0.09,1,Estratificado
21/2021/04 14:00:55,33,18,30,1023,0.16,0.39,0.69,-0.43,-0.00,0.64,3.47,4.43,-0.72,1,Estratificado
21/2021/04 14:00:58,35,17,31,1023,-0.11,0.39,0.69,-0.45,0.00,0.65,3.20,4.00,-0.92,1,Estratificado
21/2021/04 14:01:01,33,20,31,1023,0.22,0.39,0.69,-0.44,-0.00,0.64,3.34,3.02,-1.30,1,Estratificado
21/2021/04 14:01:04,47,34,30,1023,0.32,0.39,0.69,-0.45,-0.01,0.66,3.47,2.30,-0.89,1,Estratificado
21/2021/04 14:01:07,47,36,30,1023,-0.95,0.40,0.70,-0.39,-0.01,0.63,4.08,3.05,-0.15,1,Estratificado
21/2021/04 14:01:10,39,25,30,1023,0.42,0.40,0.68,-0.41,0.00,0.62,4.05,3.35,-0.21,1,Estratificado
21/2021/04 14:01:13,36,18,32,1023,1.11,0.38,0.68,-0.39,-0.01,0.61,3.71,4.54,-0.93,1,Estratificado
21/2021/04 14:01:16,26,15,32,1023,0.43,0.39,0.71,-0.42,0.03,0.64,3.19,4.46,-0.98,1,Estratificado
21/2021/04 14:01:19,34,22,31,1023,0.11,0.39,0.69,-0.44,-0.01,0.64,2.98,3.33,-1.11,1,Estratificado
21/2021/04 14:01:22,36,22,30,1023,-0.27,0.39,0.68,-0.43,-0.02,0.64,3.32,3.14,-1.08,1,Estratificado
21/2021/04 14:01:25,50,38,32,1023,-2.00,0.38,0.60,-0.44,0.00,0.65,3.33,3.18,-0.95,1,Estratificado
21/2021/04 14:01:28,42,33,31,1023,-0.68,0.39,0.66,-0.41,-0.02,0.63,4.08,2.44,-0.31,1,Estratificado
21/2021/04 14:01:31,31,15,30,1023,0.19,0.39,0.69,-0.38,-0.00,0.62,3.76,4.82,-0.61,1,Estratificado
21/2021/04 14:01:34,35,19,32,1023,-0.38,0.38,0.69,-0.42,0.00,0.64,3.08,4.28,-1.08,1,Estratificado
21/2021/04 14:01:37,33,19,31,1023,-0.11,0.38,0.68,-0.43,0.01,0.64,3.12,3.82,-1.03,1,Estratificado
